Date,Forecasted
2024-06-30,545320.078784331
2024-07-31,556383.6577209993
2024-08-31,547784.2067244144
2024-09-30,527644.6799367924
2024-10-31,551170.3058615727
2024-11-30,553003.3355548007
2024-12-31,556351.2235338073
